Frame,ID,Box
0,3,"[-6, 81, 676, 1071]"
1,3,"[-18, 107, 610, 1054]"
2,3,"[-11, 127, 578, 1035]"
3,3,"[-20, 131, 540, 1024]"
4,3,"[-16, 139, 503, 1017]"
5,3,"[-7, 138, 485, 1015]"
6,3,"[-16, 151, 441, 1011]"
7,3,"[-13, 156, 418, 1011]"
8,3,"[-10, 157, 400, 1015]"
9,3,"[-5, 146, 385, 1009]"
10,3,"[0, 134, 375, 1016]"
11,3,"[2, 126, 365, 1025]"
12,3,"[6, 118, 358, 1035]"
13,3,"[9, 115, 353, 1043]"
14,3,"[11, 115, 349, 1049]"
15,3,"[12, 112, 345, 1050]"
16,3,"[14, 112, 343, 1050]"
17,3,"[12, 114, 334, 1047]"
18,3,"[7, 122, 321, 1047]"
19,3,"[4, 131, 312, 1043]"
20,3,"[2, 141, 304, 1041]"
21,3,"[2, 151, 300, 1040]"
22,3,"[5, 160, 300, 1038]"
23,3,"[8, 169, 302, 1038]"
24,3,"[10, 189, 303, 1044]"
25,3,"[12, 199, 308, 1045]"
26,3,"[14, 204, 316, 1048]"
27,3,"[17, 201, 325, 1049]"
28,3,"[20, 202, 340, 1051]"
29,3,"[19, 206, 354, 1053]"
30,3,"[17, 210, 370, 1061]"
31,3,"[19, 205, 390, 1060]"
32,3,"[17, 207, 409, 1067]"
33,3,"[22, 209, 445, 1074]"
34,3,"[17, 213, 471, 1069]"
35,3,"[13, 209, 505, 1066]"
36,3,"[16, 217, 539, 1064]"
37,3,"[22, 224, 568, 1064]"
38,3,"[31, 233, 598, 1070]"
39,3,"[59, 235, 640, 1070]"
40,3,"[75, 242, 670, 1069]"
41,3,"[96, 246, 694, 1065]"
42,3,"[120, 244, 720, 1066]"
43,3,"[157, 242, 761, 1066]"
44,3,"[171, 242, 785, 1067]"
45,3,"[193, 243, 808, 1074]"
46,3,"[210, 242, 830, 1076]"
47,3,"[239, 239, 855, 1078]"
48,3,"[279, 223, 890, 1079]"
49,3,"[303, 219, 911, 1081]"
50,3,"[336, 217, 940, 1080]"
51,3,"[367, 209, 965, 1076]"
52,3,"[401, 205, 997, 1075]"
53,3,"[421, 210, 1025, 1073]"
54,3,"[441, 224, 1051, 1069]"
55,3,"[468, 236, 1078, 1071]"
56,3,"[512, 231, 1120, 1068]"
57,3,"[534, 232, 1138, 1074]"
58,3,"[554, 234, 1169, 1081]"
59,3,"[578, 236, 1199, 1084]"
60,3,"[595, 236, 1217, 1086]"
61,3,"[632, 230, 1249, 1094]"
62,3,"[660, 219, 1272, 1087]"
63,3,"[681, 216, 1290, 1093]"
64,3,"[700, 219, 1307, 1101]"
65,3,"[716, 222, 1319, 1105]"
66,3,"[750, 220, 1348, 1109]"
67,3,"[775, 221, 1374, 1105]"
68,3,"[793, 229, 1396, 1100]"
69,3,"[807, 241, 1415, 1100]"
70,3,"[820, 247, 1427, 1096]"
71,3,"[828, 254, 1437, 1098]"
72,3,"[831, 258, 1446, 1098]"
73,3,"[831, 265, 1455, 1096]"
74,3,"[830, 270, 1459, 1091]"
75,3,"[829, 272, 1462, 1089]"
76,3,"[830, 274, 1462, 1084]"
77,3,"[860, 272, 1488, 1088]"
78,3,"[836, 272, 1467, 1085]"
79,3,"[827, 270, 1461, 1084]"
80,3,"[824, 269, 1456, 1085]"
81,3,"[825, 267, 1452, 1086]"
82,3,"[819, 264, 1445, 1084]"
83,3,"[813, 260, 1438, 1080]"
84,3,"[804, 259, 1429, 1079]"
85,3,"[785, 262, 1415, 1073]"
86,3,"[771, 259, 1401, 1073]"
87,3,"[758, 254, 1385, 1076]"
88,3,"[722, 254, 1352, 1077]"
89,3,"[703, 252, 1335, 1082]"
90,3,"[680, 248, 1311, 1084]"
91,3,"[665, 238, 1291, 1081]"
92,3,"[655, 232, 1276, 1081]"
93,3,"[648, 231, 1256, 1082]"
94,3,"[610, 233, 1222, 1081]"
95,3,"[578, 236, 1197, 1079]"
96,3,"[554, 234, 1175, 1072]"
97,3,"[532, 231, 1154, 1067]"
98,3,"[521, 226, 1140, 1063]"
99,3,"[481, 234, 1105, 1058]"
100,3,"[445, 236, 1076, 1050]"
101,3,"[420, 232, 1050, 1049]"
102,3,"[402, 227, 1023, 1052]"
103,3,"[393, 224, 1007, 1058]"
104,3,"[352, 219, 976, 1059]"
105,3,"[321, 211, 955, 1056]"
106,3,"[288, 205, 926, 1058]"
107,3,"[269, 203, 907, 1065]"
108,3,"[235, 204, 881, 1060]"
109,3,"[209, 203, 856, 1059]"
110,3,"[183, 202, 830, 1058]"
111,3,"[164, 200, 810, 1058]"
112,3,"[146, 198, 794, 1061]"
113,3,"[120, 201, 769, 1065]"
114,3,"[96, 208, 745, 1068]"
115,3,"[69, 216, 715, 1066]"
116,3,"[44, 214, 687, 1066]"
117,3,"[12, 210, 658, 1067]"
118,3,"[-14, 203, 624, 1066]"
119,3,"[-25, 196, 602, 1066]"
120,3,"[-30, 192, 581, 1067]"
121,3,"[-37, 189, 558, 1068]"
122,3,"[-37, 188, 533, 1071]"
123,3,"[-34, 188, 513, 1074]"
124,3,"[-28, 190, 498, 1074]"
125,3,"[-33, 192, 467, 1073]"
126,3,"[-31, 190, 447, 1069]"
127,3,"[-26, 187, 432, 1068]"
128,3,"[-21, 188, 420, 1070]"
129,3,"[-16, 192, 412, 1073]"
130,3,"[-11, 195, 408, 1073]"
131,3,"[-7, 198, 405, 1073]"
132,3,"[-3, 200, 404, 1072]"
133,3,"[0, 199, 407, 1072]"
134,3,"[1, 197, 411, 1072]"
135,3,"[3, 195, 414, 1068]"
136,3,"[3, 192, 418, 1065]"
137,3,"[2, 196, 425, 1064]"
138,3,"[11, 200, 451, 1068]"
139,3,"[12, 202, 469, 1077]"
140,3,"[12, 201, 481, 1077]"
141,3,"[13, 198, 501, 1076]"
142,3,"[15, 198, 525, 1077]"
143,3,"[18, 203, 553, 1077]"
144,3,"[14, 203, 570, 1077]"
145,3,"[27, 209, 604, 1079]"
146,3,"[53, 220, 643, 1071]"
147,3,"[75, 233, 675, 1067]"
148,3,"[103, 230, 709, 1061]"
149,3,"[152, 226, 755, 1068]"
150,3,"[180, 224, 781, 1064]"
151,3,"[209, 223, 810, 1063]"
152,3,"[237, 227, 837, 1071]"
153,3,"[280, 221, 872, 1079]"
154,3,"[307, 214, 897, 1077]"
155,3,"[328, 206, 920, 1070]"
156,3,"[361, 206, 951, 1070]"
157,3,"[405, 208, 988, 1077]"
158,3,"[427, 207, 1007, 1076]"
159,3,"[450, 212, 1030, 1070]"
160,3,"[485, 225, 1064, 1069]"
161,3,"[532, 224, 1105, 1070]"
162,3,"[561, 223, 1123, 1068]"
163,3,"[586, 229, 1155, 1069]"
164,3,"[613, 230, 1185, 1074]"
165,3,"[651, 227, 1223, 1078]"
166,3,"[680, 225, 1240, 1079]"
167,3,"[697, 220, 1249, 1075]"
168,3,"[709, 217, 1251, 1074]"
169,3,"[728, 213, 1269, 1073]"
170,3,"[748, 203, 1285, 1071]"
171,3,"[762, 198, 1302, 1074]"
172,3,"[784, 196, 1321, 1079]"
173,3,"[800, 201, 1327, 1082]"
174,3,"[812, 208, 1335, 1081]"
175,3,"[823, 212, 1343, 1078]"
176,3,"[828, 217, 1347, 1077]"
177,3,"[833, 221, 1353, 1075]"
178,3,"[838, 225, 1359, 1072]"
179,3,"[838, 226, 1361, 1072]"
180,3,"[830, 230, 1358, 1074]"
181,3,"[825, 236, 1356, 1075]"
182,3,"[824, 244, 1355, 1075]"
183,3,"[814, 247, 1348, 1074]"
184,3,"[806, 248, 1339, 1073]"
185,3,"[793, 248, 1330, 1078]"
186,3,"[772, 248, 1317, 1082]"
187,3,"[754, 252, 1309, 1086]"
188,3,"[731, 258, 1292, 1089]"
189,3,"[703, 260, 1272, 1088]"
190,3,"[680, 262, 1258, 1086]"
191,3,"[654, 264, 1245, 1084]"
192,3,"[625, 261, 1218, 1087]"
193,3,"[597, 261, 1194, 1084]"
194,3,"[570, 261, 1167, 1079]"
195,3,"[546, 256, 1143, 1076]"
196,3,"[511, 249, 1113, 1073]"
197,3,"[483, 240, 1085, 1076]"
198,3,"[449, 232, 1052, 1071]"
199,3,"[418, 224, 1021, 1071]"
200,3,"[381, 207, 989, 1073]"
201,3,"[347, 205, 956, 1075]"
202,3,"[310, 204, 923, 1072]"
203,3,"[267, 200, 877, 1064]"
204,3,"[228, 206, 835, 1063]"
205,3,"[192, 208, 800, 1066]"
206,3,"[142, 194, 753, 1067]"
207,3,"[101, 183, 711, 1072]"
208,3,"[72, 175, 684, 1079]"
209,3,"[51, 155, 660, 1066]"
210,3,"[21, 147, 628, 1063]"
211,3,"[-3, 131, 595, 1060]"
212,3,"[-20, 110, 569, 1059]"
213,3,"[-31, 98, 541, 1060]"
214,3,"[-32, 71, 516, 1057]"
215,3,"[-41, 54, 476, 1060]"
216,3,"[-44, 43, 446, 1069]"
217,3,"[-44, 39, 418, 1076]"
218,3,"[-48, 44, 382, 1084]"
219,3,"[-51, 39, 360, 1078]"
220,3,"[-50, 57, 340, 1076]"
221,3,"[-48, 67, 325, 1069]"
222,3,"[-45, 153, 306, 1098]"
223,3,"[-41, 197, 291, 1096]"
224,3,"[-47, 192, 246, 1087]"
225,3,"[-43, 196, 219, 1078]"
226,3,"[-39, 202, 198, 1071]"
227,3,"[-36, 196, 180, 1075]"
228,3,"[-34, 233, 163, 1088]"
